i,j,distance_cosine,distance_euclidean
42,1,0.34349830759253774,5.685086507188759
42,2,0.08583046766458924,2.925393443957967
42,3,0.0974908766828505,3.12951346928975
42,4,0.18359063751951876,4.182863891325205
42,5,0.11551845414601558,3.3373520884214027
42,6,0.1277286266710176,3.5448468965113946
42,7,0.4001737043593855,6.158306402816925
42,8,0.12690270333588527,3.5177121858873193
42,9,0.11630617386626596,3.363942929586024
42,10,0.12891309380695748,3.6034420272672456
42,11,0.07635794726932377,2.7433186228935815
42,12,0.11103296567939402,3.275736536397234
42,13,0.08776063562866077,2.9887994511271816
42,14,0.37545265754908197,6.211239941161945
42,15,0.14166486258656075,3.6841867894680367
42,16,0.06842942216407244,2.5983653942031677
42,17,0.11722107213585597,3.368342546774076
42,18,0.13440308528848965,3.6630631343475377
42,19,0.13003533980707205,3.5469873542725407
42,20,0.07372016813527216,2.6984714649795447
42,21,0.05676035746138419,2.369656073723728
42,22,0.1294929786778678,3.505747972985367
42,23,0.06281412954692878,2.464448449670815
42,24,0.13291895786987384,3.6281746515250815
42,25,0.16970941408364504,4.017438417370282
42,26,0.10054498860129524,3.133866652194778
42,27,0.10637412097532672,3.2787070890947607
42,28,0.19100188787312755,4.241163835721703
42,29,0.0782070506416842,2.779726206957179
42,30,0.11693731171574073,3.36014677873756
42,31,0.05965285305779233,2.42704056919415
42,32,0.09389780358301292,3.055097649543301
42,33,0.387849493330621,6.112513579348216
42,34,0.09584621996336884,3.127222161847247
42,35,0.10440580995029325,3.1834780140938337
42,36,0.31969190910561895,5.486945562212953
42,37,0.09465473766205024,3.1358724628499046
42,38,0.4449758204428832,6.544231607527158
42,39,0.07389178327202905,2.6756377196511814
42,40,0.12787664231953366,3.5485945088982893
42,41,0.15122857627937858,3.7844582627776564
42,43,0.5028825268145869,7.039534317602487
42,44,0.41835428060146773,6.287902729974129
42,45,0.4862019246882161,6.963061575983316
42,46,0.20229612763057236,4.373622255689625
42,47,0.09734651770159641,3.056031141325339
42,48,0.13887056001831444,3.6804520710795505
42,49,0.09543805321592502,3.056698209199218
42,50,0.12792638533425904,3.5719600635170066
42,51,0.14708451671912104,3.82728806305898
42,52,0.3325952394218752,5.613851317016285
42,53,0.08669952794028257,2.9115446127987887
42,54,0.10842490018540785,3.3053448374615324
42,55,0.08798351427194873,2.9912060712865682
42,56,0.05251458916365359,2.3051041230306137
42,57,0.09965189061933188,3.085412465197147
42,58,0.09999982107811989,3.20506511646057
42,59,0.18573009982946675,4.392437251955357
43,1,0.11291139105566528,3.2591471179421876
43,2,0.44268567506483325,6.621242032512747
43,3,0.49927859955065534,7.056854650588273
43,4,0.2460382685644561,4.819539912289529
43,5,0.4533835559529097,6.575968807964319
43,6,0.46963364751958747,6.773208770273553
43,7,0.06341575119544685,2.456451346306796
43,8,0.46959147240686183,6.739770450344661
43,9,0.5209607141297348,7.089085644641873
43,10,0.48716009480692535,6.980004835445795
43,11,0.46276418717274603,6.7295578101620235
43,12,0.4201772677651122,6.33969129153565
43,13,0.5220342125631217,7.257125567921667
43,14,0.20407396683969248,4.569406463884222
43,15,0.44072419038769084,6.461566082852546
43,16,0.5373914480713987,7.255989893568198
43,17,0.5036989900828364,6.948543874642772
43,18,0.41623476949683735,6.424612870448186
43,19,0.3943108405636644,6.148073620209465
43,20,0.45367279442054176,6.671016759707762
43,21,0.4058250200660015,6.314587658222883
43,22,0.3023205959981211,5.316627245349648
43,23,0.46069476676718657,6.620622174251153
43,24,0.5169619384578055,7.131018911596252
43,25,0.34649624359302744,5.707955097933977
43,26,0.49249323044048265,6.907757577811618
43,27,0.5102281203181882,7.153442855837115
43,28,0.18645104462244955,4.172205743360509
43,29,0.42761550708276264,6.477497430007814
43,30,0.3192710197939367,5.52435101996756
43,31,0.45091592793707047,6.649542406659679
43,32,0.5064917739457381,7.071644426157252
43,33,0.08217545852908226,2.8071836146955933
43,34,0.5282450544067742,7.308377064070187
43,35,0.5250222122537125,7.105330025088761
43,36,0.1721379741498974,4.017133230694372
43,37,0.5562171645607049,7.553536991988907
43,38,0.060307159663357535,2.4057436964258
43,39,0.4132341537521712,6.2893176717853025
43,40,0.4694988733927502,6.775683818920324
43,41,0.20236758011299816,4.353145856424952
43,42,0.5028825268145869,7.039534317602487
43,44,0.07766054078248863,2.713138271576056
43,45,0.054121350433186,2.3167511836572787
43,46,0.16335705592127348,3.9162107715707397
43,47,0.5046344645160404,6.906276162989604
43,48,0.37830730037592386,6.050946730924917
43,49,0.5019917611345877,6.983011555077249
43,50,0.5305129525901972,7.249463484250191
43,51,0.5619928971116721,7.456052542146669
43,52,0.1029483816888006,3.1207665699244975
43,53,0.45864001315966585,6.669207317666399
43,54,0.5091782473400441,7.136689881101778
43,55,0.5097481435343891,7.16851157809636
43,56,0.5272559182628047,7.271245456483736
43,57,0.35644939970388234,5.7864621958328035
43,58,0.5234038629019468,7.295809122777522
43,59,0.6112711093083929,7.930832205019044
44,1,0.11314009113577483,3.1719617531559954
44,2,0.3613976242792939,5.862072392241391
44,3,0.4003440516357123,6.193172483421341
44,4,0.19357841345891547,4.173652822608781
44,5,0.3575740893756445,5.70929876060396
44,6,0.3575068448194155,5.785723289492129
44,7,0.09470548722465111,2.915112816831859
44,8,0.3832672788344418,5.957344636542993
44,9,0.4285992033594097,6.289847777079643
44,10,0.39503721083133014,6.161359318802333
44,11,0.3737042055534038,5.920983282938037
44,12,0.3214201156324862,5.421736951711949
44,13,0.4297711789173856,6.4563748110835935
44,14,0.18904207983324994,4.332757304761506
44,15,0.34574883341651097,5.592809733250591
44,16,0.4421114121457024,6.4428039680476825
44,17,0.4195484137444493,6.201352156443478
44,18,0.338066559007163,5.674767840032868
44,19,0.30998827241785587,5.330913340815698
44,20,0.3663621765315912,5.870483857034213
44,21,0.3323129243061568,5.597093428118647
44,22,0.25258357798202913,4.742041852456812
44,23,0.3699150641569776,5.799024530739527
44,24,0.4139485104619899,6.248611573099706
44,25,0.2820405542664959,5.02873261379656
44,26,0.40859959578664373,6.156347659752611
44,27,0.4294340702911905,6.432710566903813
44,28,0.16030555445385908,3.767841943968659
44,29,0.34348086023747504,5.6856664621867425
44,30,0.2582438971908225,4.857648028146892
44,31,0.3715943945050899,5.9109582924256685
44,32,0.42954171820899323,6.378031122791743
44,33,0.09510728049923656,2.951244792150204
44,34,0.4257934840778915,6.434691468154296
